citation_key,year,category,primary_task,wbc_specific,synthetic_generation,cross_domain_or_dg,official_code,local_primary_source,local_code_source,verified_take,relevance_to_our_project,gap_vs_our_claim,source_note
"almezhghwi2020",2020,"wbc_synth","5-class WBC classification with GAN augmentation","yes","yes","no","no","reference/sources/papers/almezhghwi2020_pmc.html","","GAN plus transforms improve in-domain WBC classification on LISC.","Shows WBC synthetic augmentation is already established.","No leakage-safe domain generalization or policy benchmark.",""
"jung2022",2022,"wbc_synth","WBC classification plus generative models","yes","yes","no","unknown","reference/sources/papers/jung2022_bmc.pdf","","Generative models are used inside a WBC classification pipeline.","Confirms WBC generation-plus-classification is not new.","Still centered on in-domain classification instead of unseen-domain utility.",""
"tavakoli2021",2021,"wbc_generalizability","Cross-dataset WBC generalizability analysis","yes","no","yes","no","reference/sources/papers/tavakoli2021_biorxiv.html","","Shows that WBC classifiers do not generalize cleanly across datasets.","Justifies our LODO and held-out domain framing.","Does not propose synthetic augmentation or generation policy.",""
"umer2023",2023,"wbc_dg","Imbalanced domain generalization for hematological cytomorphology classification","yes","no","yes","unknown","reference/sources/papers/2303.07771.html","","Classifier-centric WBC DG under domain shift and imbalance.","Shows WBC DG itself already has prior art.","Not a synthetic generation policy paper.",""
"putzu2025",2025,"wbc_crossdomain","Test-time augmentation for cross-domain leukocyte classification","yes","no","yes","no","reference/sources/papers/putzu2025_jimaging.pdf","","Cross-domain gains come from OOD filtering plus self-ensembling at test time.","Strong nearby comparison point for cross-domain WBC improvement.","No training-time synthetic pool design or subset utility evaluation.","Author metadata recovered from DOI BibTeX."
"boada2025",2025,"wbc_diffusion","Diffusion/LoRA cytomorphology synthesis plus low-data classification","yes","yes","not_primary","yes","reference/sources/papers/boada2025_cytodiff_iccvw.pdf","reference/sources/repos/cytodiff_README.md","Diffusion-based WBC/cytomorphology generation can improve low-data classification.","Closest external precedent for our generation backbone family.","Not evaluated as leakage-safe multi-domain DG utility.",""
"hassini2025",2025,"wbc_rare_class_synth","Physics-inspired GAN for rare WBC classification in FPM","yes","yes","no","no","reference/sources/papers/hassini2025_nature.html","","Physics-aware synthetic generation improves rare basophil classification in FPM.","Shows rare-class augmentation and physics-aware generation are also prior art.","Different modality and not smear-image DG or synthetic policy selection.",""
"li2024_sada",2024,"wbc_dg_aug","Stain-aware augmentation and domain alignment for blood cell classification","yes","augmentation_not_generation","yes","yes","reference/sources/papers/2412.02976.html","reference/sources/repos/sada_README.md","Uses stain-aware augmentation plus domain alignment and contrastive learning for WBC DG.","Most direct external WBC DG competitor.","Feature-learning centric; no synthetic image generation policy benchmark.","arXiv uses 'Imbalance Blood Cell Classification'; repo subtitle says 'Imbalanced Blood Cell Classification'."
"li2020_ldr",2020,"medical_dg","General medical imaging DG classification via regularization","no","no","yes","unknown","reference/sources/papers/2009.12829.html","","Representation regularization is a strong non-generative DG baseline in medical imaging.","Helps frame why generation policy needs its own justification.","Not WBC-specific and not synthetic augmentation.",""
"su2022_slaug",2022,"medical_dg_aug","Single-source medical DG augmentation redesign","no","augmentation_not_generation","yes","yes","reference/sources/papers/2211.14805.html","reference/sources/repos/slaug_README.md","Policy-level augmentation redesign can itself be the paper contribution.","Important precedent for claiming novelty at the augmentation-policy level.","Segmentation setting, not WBC classification or synthetic image generation.","arXiv preprint is 2022; official repo frames it as AAAI 2023."
"shen2025_stycona",2025,"medical_dg_aug","Style-content decomposition augmentation for DG segmentation","no","augmentation_not_generation","yes","yes","reference/sources/papers/2502.20619.html","reference/sources/repos/stycona_README.md","Explicitly separates style and content shifts for DG augmentation.","Closest external analogy to our cell-preservation versus background-shift thinking.","Segmentation task; not WBC synthetic pool utility.","arXiv is 2025; repo citation points to MIDL 2026."
"doerrich2026_stylizingvit",2026,"medical_dg_aug","Anatomy-preserving style transfer for DG classification and TTA","no","augmentation_not_generation","yes","yes","reference/sources/papers/2601.17586.html","reference/sources/repos/stylizingvit_README.md","Style diversity plus anatomy preservation is already an active DG augmentation direction.","Constrains our novelty: preservation-aware generation alone is not enough.","Not WBC-specific and not a leakage-safe synthetic subset study.","arXiv preprint is 2026; repo labels it ISBI 2026."
